Category: All categories

Week,Air Purifier: (India)
2020-07-12,19
2020-07-19,19
2020-07-26,19
2020-08-02,20
2020-08-09,18
2020-08-16,16
2020-08-23,17
2020-08-30,16
2020-09-06,17
2020-09-13,17
2020-09-20,14
2020-09-27,15
2020-10-04,17
2020-10-11,22
2020-10-18,24
2020-10-25,29
2020-11-01,36
2020-11-08,57
2020-11-15,35
2020-11-22,24
2020-11-29,19
2020-12-06,17
2020-12-13,15
2020-12-20,15
2020-12-27,13
2021-01-03,12
2021-01-10,13
2021-01-17,15
2021-01-24,14
2021-01-31,13
2021-02-07,13
2021-02-14,13
2021-02-21,15
2021-02-28,12
2021-03-07,14
2021-03-14,14
2021-03-21,16
2021-03-28,16
2021-04-04,15
2021-04-11,19
2021-04-18,25
2021-04-25,29
2021-05-02,30
2021-05-09,26
2021-05-16,24
2021-05-23,22
2021-05-30,19
2021-06-06,23
2021-06-13,16
2021-06-20,15
2021-06-27,15
2021-07-04,16
2021-07-11,14
2021-07-18,13
2021-07-25,12
2021-08-01,12
2021-08-08,12
2021-08-15,12
2021-08-22,13
2021-08-29,16
2021-09-05,18
2021-09-12,25
2021-09-19,23
2021-09-26,27
2021-10-03,35
2021-10-10,25
2021-10-17,16
2021-10-24,16
2021-10-31,25
2021-11-07,33
2021-11-14,33
2021-11-21,24
2021-11-28,21
2021-12-05,17
2021-12-12,16
2021-12-19,15
2021-12-26,13
2022-01-02,18
2022-01-09,14
2022-01-16,15
2022-01-23,14
2022-01-30,13
2022-02-06,12
2022-02-13,12
2022-02-20,14
2022-02-27,14
2022-03-06,13
2022-03-13,13
2022-03-20,14
2022-03-27,14
2022-04-03,14
2022-04-10,13
2022-04-17,14
2022-04-24,13
2022-05-01,12
2022-05-08,11
2022-05-15,11
2022-05-22,10
2022-05-29,12
2022-06-05,12
2022-06-12,12
2022-06-19,13
2022-06-26,12
2022-07-03,11
2022-07-10,12
2022-07-17,10
2022-07-24,10
2022-07-31,11
2022-08-07,11
2022-08-14,11
2022-08-21,11
2022-08-28,9
2022-09-04,9
2022-09-11,11
2022-09-18,12
2022-09-25,12
2022-10-02,11
2022-10-09,11
2022-10-16,16
2022-10-23,20
2022-10-30,31
2022-11-06,26
2022-11-13,19
2022-11-20,15
2022-11-27,15
2022-12-04,15
2022-12-11,12
2022-12-18,14
2022-12-25,14
2023-01-01,13
2023-01-08,13
2023-01-15,13
2023-01-22,13
2023-01-29,12
2023-02-05,11
2023-02-12,13
2023-02-19,13
2023-02-26,12
2023-03-05,14
2023-03-12,13
2023-03-19,10
2023-03-26,10
2023-04-02,11
2023-04-09,11
2023-04-16,12
2023-04-23,11
2023-04-30,10
2023-05-07,10
2023-05-14,12
2023-05-21,11
2023-05-28,10
2023-06-04,11
2023-06-11,10
2023-06-18,10
2023-06-25,10
2023-07-02,10
2023-07-09,9
2023-07-16,10
2023-07-23,9
2023-07-30,9
2023-08-06,8
2023-08-13,7
2023-08-20,9
2023-08-27,9
2023-09-03,9
2023-09-10,7
2023-09-17,7
2023-09-24,7
2023-10-01,9
2023-10-08,11
2023-10-15,11
2023-10-22,15
2023-10-29,47
2023-11-05,64
2023-11-12,35
2023-11-19,24
2023-11-26,19
2023-12-03,13
2023-12-10,14
2023-12-17,12
2023-12-24,13
2023-12-31,11
2024-01-07,11
2024-01-14,12
2024-01-21,10
2024-01-28,11
2024-02-04,9
2024-02-11,10
2024-02-18,10
2024-02-25,10
2024-03-03,10
2024-03-10,10
2024-03-17,9
2024-03-24,12
2024-03-31,11
2024-04-07,11
2024-04-14,10
2024-04-21,10
2024-04-28,12
2024-05-05,10
2024-05-12,9
2024-05-19,8
2024-05-26,10
2024-06-02,7
2024-06-09,7
2024-06-16,7
2024-06-23,7
2024-06-30,7
2024-07-07,7
2024-07-14,8
2024-07-21,7
2024-07-28,7
2024-08-04,7
2024-08-11,8
2024-08-18,8
2024-08-25,8
2024-09-01,9
2024-09-08,8
2024-09-15,8
2024-09-22,10
2024-09-29,10
2024-10-06,11
2024-10-13,16
2024-10-20,24
2024-10-27,31
2024-11-03,30
2024-11-10,37
2024-11-17,100
2024-11-24,34
2024-12-01,21
2024-12-08,19
2024-12-15,18
2024-12-22,16
2024-12-29,15
2025-01-05,14
2025-01-12,14
2025-01-19,12
2025-01-26,13
2025-02-02,19
2025-02-09,19
2025-02-16,18
2025-02-23,16
2025-03-02,14
2025-03-09,14
2025-03-16,15
2025-03-23,13
2025-03-30,14
2025-04-06,15
2025-04-13,13
2025-04-20,13
2025-04-27,13
2025-05-04,11
2025-05-11,11
2025-05-18,10
2025-05-25,9
2025-06-01,11
2025-06-08,12
2025-06-15,11
2025-06-22,10
2025-06-29,10
2025-07-06,10
2025-07-13,11
