Category: All categories

Week,Air quality index: (India)
2020-07-12,1
2020-07-19,1
2020-07-26,1
2020-08-02,1
2020-08-09,1
2020-08-16,1
2020-08-23,1
2020-08-30,1
2020-09-06,1
2020-09-13,1
2020-09-20,1
2020-09-27,1
2020-10-04,1
2020-10-11,3
2020-10-18,4
2020-10-25,5
2020-11-01,9
2020-11-08,20
2020-11-15,19
2020-11-22,6
2020-11-29,4
2020-12-06,4
2020-12-13,3
2020-12-20,3
2020-12-27,3
2021-01-03,3
2021-01-10,2
2021-01-17,2
2021-01-24,1
2021-01-31,1
2021-02-07,1
2021-02-14,1
2021-02-21,1
2021-02-28,1
2021-03-07,1
2021-03-14,1
2021-03-21,1
2021-03-28,1
2021-04-04,1
2021-04-11,1
2021-04-18,1
2021-04-25,1
2021-05-02,1
2021-05-09,1
2021-05-16,2
2021-05-23,2
2021-05-30,1
2021-06-06,1
2021-06-13,1
2021-06-20,1
2021-06-27,1
2021-07-04,2
2021-07-11,1
2021-07-18,1
2021-07-25,1
2021-08-01,1
2021-08-08,1
2021-08-15,1
2021-08-22,1
2021-08-29,1
2021-09-05,1
2021-09-12,1
2021-09-19,1
2021-09-26,1
2021-10-03,1
2021-10-10,2
2021-10-17,2
2021-10-24,2
2021-10-31,15
2021-11-07,15
2021-11-14,18
2021-11-21,11
2021-11-28,9
2021-12-05,6
2021-12-12,5
2021-12-19,5
2021-12-26,4
2022-01-02,4
2022-01-09,3
2022-01-16,3
2022-01-23,3
2022-01-30,2
2022-02-06,2
2022-02-13,2
2022-02-20,2
2022-02-27,2
2022-03-06,2
2022-03-13,2
2022-03-20,2
2022-03-27,2
2022-04-03,2
2022-04-10,1
2022-04-17,2
2022-04-24,2
2022-05-01,2
2022-05-08,2
2022-05-15,2
2022-05-22,2
2022-05-29,2
2022-06-05,2
2022-06-12,2
2022-06-19,2
2022-06-26,2
2022-07-03,1
2022-07-10,1
2022-07-17,1
2022-07-24,1
2022-07-31,1
2022-08-07,1
2022-08-14,1
2022-08-21,1
2022-08-28,1
2022-09-04,1
2022-09-11,1
2022-09-18,2
2022-09-25,1
2022-10-02,2
2022-10-09,2
2022-10-16,3
2022-10-23,15
2022-10-30,23
2022-11-06,20
2022-11-13,9
2022-11-20,4
2022-11-27,5
2022-12-04,7
2022-12-11,4
2022-12-18,5
2022-12-25,4
2023-01-01,5
2023-01-08,5
2023-01-15,4
2023-01-22,4
2023-01-29,3
2023-02-05,3
2023-02-12,3
2023-02-19,3
2023-02-26,2
2023-03-05,3
2023-03-12,3
2023-03-19,2
2023-03-26,2
2023-04-02,2
2023-04-09,2
2023-04-16,2
2023-04-23,1
2023-04-30,2
2023-05-07,1
2023-05-14,2
2023-05-21,2
2023-05-28,1
2023-06-04,3
2023-06-11,2
2023-06-18,2
2023-06-25,2
2023-07-02,2
2023-07-09,2
2023-07-16,1
2023-07-23,1
2023-07-30,1
2023-08-06,2
2023-08-13,2
2023-08-20,2
2023-08-27,2
2023-09-03,2
2023-09-10,2
2023-09-17,2
2023-09-24,2
2023-10-01,3
2023-10-08,3
2023-10-15,5
2023-10-22,10
2023-10-29,33
2023-11-05,56
2023-11-12,47
2023-11-19,20
2023-11-26,22
2023-12-03,12
2023-12-10,11
2023-12-17,11
2023-12-24,14
2023-12-31,11
2024-01-07,10
2024-01-14,11
2024-01-21,9
2024-01-28,9
2024-02-04,7
2024-02-11,7
2024-02-18,6
2024-02-25,6
2024-03-03,6
2024-03-10,6
2024-03-17,6
2024-03-24,6
2024-03-31,6
2024-04-07,6
2024-04-14,8
2024-04-21,8
2024-04-28,8
2024-05-05,8
2024-05-12,9
2024-05-19,10
2024-05-26,12
2024-06-02,9
2024-06-09,9
2024-06-16,10
2024-06-23,10
2024-06-30,10
2024-07-07,10
2024-07-14,10
2024-07-21,8
2024-07-28,6
2024-08-04,6
2024-08-11,8
2024-08-18,10
2024-08-25,9
2024-09-01,9
2024-09-08,11
2024-09-15,10
2024-09-22,10
2024-09-29,11
2024-10-06,10
2024-10-13,13
2024-10-20,18
2024-10-27,36
2024-11-03,31
2024-11-10,36
2024-11-17,100
2024-11-24,43
2024-12-01,25
2024-12-08,18
2024-12-15,21
2024-12-22,25
2024-12-29,16
2025-01-05,17
2025-01-12,18
2025-01-19,12
2025-01-26,12
2025-02-02,17
2025-02-09,14
2025-02-16,12
2025-02-23,10
2025-03-02,9
2025-03-09,11
2025-03-16,11
2025-03-23,9
2025-03-30,10
2025-04-06,11
2025-04-13,9
2025-04-20,9
2025-04-27,9
2025-05-04,8
2025-05-11,10
2025-05-18,9
2025-05-25,8
2025-06-01,8
2025-06-08,9
2025-06-15,9
2025-06-22,7
2025-06-29,8
2025-07-06,9
2025-07-13,8
