Category: All categories

Week,PM 2.5: (India)
2020-07-12,12
2020-07-19,10
2020-07-26,9
2020-08-02,9
2020-08-09,9
2020-08-16,5
2020-08-23,4
2020-08-30,0
2020-09-06,7
2020-09-13,7
2020-09-20,5
2020-09-27,4
2020-10-04,0
2020-10-11,13
2020-10-18,15
2020-10-25,19
2020-11-01,31
2020-11-08,42
2020-11-15,38
2020-11-22,19
2020-11-29,13
2020-12-06,13
2020-12-13,14
2020-12-20,12
2020-12-27,8
2021-01-03,11
2021-01-10,10
2021-01-17,10
2021-01-24,12
2021-01-31,10
2021-02-07,10
2021-02-14,11
2021-02-21,9
2021-02-28,10
2021-03-07,10
2021-03-14,12
2021-03-21,9
2021-03-28,12
2021-04-04,11
2021-04-11,9
2021-04-18,16
2021-04-25,12
2021-05-02,10
2021-05-09,10
2021-05-16,12
2021-05-23,11
2021-05-30,10
2021-06-06,9
2021-06-13,8
2021-06-20,9
2021-06-27,8
2021-07-04,8
2021-07-11,8
2021-07-18,6
2021-07-25,6
2021-08-01,7
2021-08-08,5
2021-08-15,8
2021-08-22,7
2021-08-29,5
2021-09-05,6
2021-09-12,4
2021-09-19,10
2021-09-26,8
2021-10-03,7
2021-10-10,7
2021-10-17,8
2021-10-24,8
2021-10-31,19
2021-11-07,20
2021-11-14,22
2021-11-21,16
2021-11-28,14
2021-12-05,14
2021-12-12,10
2021-12-19,6
2021-12-26,7
2022-01-02,13
2022-01-09,8
2022-01-16,12
2022-01-23,8
2022-01-30,8
2022-02-06,7
2022-02-13,10
2022-02-20,8
2022-02-27,10
2022-03-06,12
2022-03-13,9
2022-03-20,11
2022-03-27,12
2022-04-03,12
2022-04-10,6
2022-04-17,9
2022-04-24,13
2022-05-01,9
2022-05-08,11
2022-05-15,12
2022-05-22,8
2022-05-29,9
2022-06-05,13
2022-06-12,10
2022-06-19,5
2022-06-26,4
2022-07-03,5
2022-07-10,4
2022-07-17,9
2022-07-24,7
2022-07-31,9
2022-08-07,4
2022-08-14,17
2022-08-21,8
2022-08-28,9
2022-09-04,9
2022-09-11,8
2022-09-18,7
2022-09-25,8
2022-10-02,10
2022-10-09,6
2022-10-16,9
2022-10-23,15
2022-10-30,18
2022-11-06,16
2022-11-13,16
2022-11-20,10
2022-11-27,9
2022-12-04,12
2022-12-11,11
2022-12-18,10
2022-12-25,8
2023-01-01,11
2023-01-08,8
2023-01-15,14
2023-01-22,8
2023-01-29,8
2023-02-05,8
2023-02-12,9
2023-02-19,11
2023-02-26,10
2023-03-05,11
2023-03-12,10
2023-03-19,7
2023-03-26,6
2023-04-02,9
2023-04-09,9
2023-04-16,8
2023-04-23,9
2023-04-30,5
2023-05-07,6
2023-05-14,7
2023-05-21,5
2023-05-28,4
2023-06-04,6
2023-06-11,4
2023-06-18,10
2023-06-25,8
2023-07-02,9
2023-07-09,6
2023-07-16,7
2023-07-23,7
2023-07-30,7
2023-08-06,10
2023-08-13,10
2023-08-20,5
2023-08-27,11
2023-09-03,10
2023-09-10,7
2023-09-17,8
2023-09-24,7
2023-10-01,12
2023-10-08,13
2023-10-15,15
2023-10-22,15
2023-10-29,41
2023-11-05,59
2023-11-12,51
2023-11-19,27
2023-11-26,31
2023-12-03,20
2023-12-10,18
2023-12-17,17
2023-12-24,21
2023-12-31,19
2024-01-07,22
2024-01-14,20
2024-01-21,18
2024-01-28,14
2024-02-04,10
2024-02-11,10
2024-02-18,11
2024-02-25,16
2024-03-03,14
2024-03-10,13
2024-03-17,21
2024-03-24,14
2024-03-31,17
2024-04-07,17
2024-04-14,18
2024-04-21,13
2024-04-28,17
2024-05-05,13
2024-05-12,9
2024-05-19,13
2024-05-26,21
2024-06-02,15
2024-06-09,13
2024-06-16,8
2024-06-23,8
2024-06-30,11
2024-07-07,9
2024-07-14,8
2024-07-21,8
2024-07-28,8
2024-08-04,5
2024-08-11,7
2024-08-18,8
2024-08-25,8
2024-09-01,5
2024-09-08,10
2024-09-15,10
2024-09-22,9
2024-09-29,8
2024-10-06,6
2024-10-13,10
2024-10-20,14
2024-10-27,27
2024-11-03,24
2024-11-10,41
2024-11-17,100
2024-11-24,42
2024-12-01,25
2024-12-08,18
2024-12-15,18
2024-12-22,18
2024-12-29,17
2025-01-05,20
2025-01-12,14
2025-01-19,15
2025-01-26,14
2025-02-02,12
2025-02-09,15
2025-02-16,22
2025-02-23,10
2025-03-02,7
2025-03-09,5
2025-03-16,7
2025-03-23,13
2025-03-30,28
2025-04-06,42
2025-04-13,17
2025-04-20,13
2025-04-27,13
2025-05-04,10
2025-05-11,9
2025-05-18,10
2025-05-25,5
2025-06-01,12
2025-06-08,7
2025-06-15,7
2025-06-22,7
2025-06-29,8
2025-07-06,6
2025-07-13,7
